MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250128, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250130, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250127, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250105, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250210, DATFACT: 20250119, PERIODE: 0005
